regime,system,crash_point,response_class,readback_keying,runs
(session-3),B1_LEASE_ONLY,after_response_before_resolution,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,before_intent_write,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,before_intent_write,NO_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,before_intent_write,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,after_response_before_resolution,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,before_intent_write,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,before_intent_write,NO_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,before_intent_write,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B2_CAS_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_intent_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_intent_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_intent_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,after_response_before_resolution,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,before_intent_write,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,before_intent_write,NO_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,before_intent_write,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,mid_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B3_INTENT_NO_BARRIER,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_intent_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_intent_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_intent_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,after_response_before_resolution,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,before_intent_write,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,before_intent_write,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,before_intent_write,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,mid_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_intent_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_intent_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_intent_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,after_response_before_resolution,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,before_intent_write,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,before_intent_write,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,before_intent_write,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,mid_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B4_DURABLE_WORKFLOW,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
p0,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
p0,B0_NAIVE_RETRY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
p0,B1_LEASE_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
p0,B2_CAS_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
p0,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
p0,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
p0,B4_DURABLE_WORKFLOW,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
redis-kill-preack,AEP_FULL,none,NO_READBACK,CALLER_REFERENCE,30
redis-kill-preack,B3_INTENT_NO_BARRIER,none,NO_READBACK,CALLER_REFERENCE,30
